USER_ID,DOB_STR,STATUS
1912104,18011999,ACTIVE
1912105,11062005,ACTIVE
1912106,28082000,ACTIVE
1912107,29042005,ACTIVE
1912108,07042007,ACTIVE
1912109,01011900,NON-ACTIVE
1912110,13112003,ACTIVE
1912111,16112004,ACTIVE
2001101,06102005,ACTIVE
2001102,04112005,ACTIVE
2001103,01011900,NON-ACTIVE
2001104,06072001,ACTIVE
2001105,09102000,ACTIVE
2001106,09012007,ACTIVE
2002101,15022001,ACTIVE
2002102,04042002,ACTIVE
2002103,28091999,ACTIVE
2002104,02062007,ACTIVE
2002105,09102001,ACTIVE
2002106,20042005,ACTIVE
2002107,19112006,ACTIVE
2002108,24032020,ACTIVE
2002109,01011900,NON-ACTIVE
2002110,30012007,BLACKLIST
2003101,17062004,ACTIVE
2003102,14032004,ACTIVE
2003103,20072005,ACTIVE
2003104,24052020,ACTIVE
2003105,04122001,ACTIVE
2003106,08031991,ACTIVE
2004101,25022003,ACTIVE
2004102,31051998,ACTIVE
2004103,23052001,ACTIVE
2004104,04042020,ACTIVE
2004105,19052005,ACTIVE
2004106,19092006,ACTIVE
2004107,11092006,ACTIVE
2004108,23051995,ACTIVE
2005101,21082004,ACTIVE
2005102,19042002,ACTIVE
2005103,30072007,BLACKLIST
2005104,12082000,ACTIVE
2005105,19072019,ACTIVE
2005106,23052005,ACTIVE
2005107,12082003,ACTIVE
2006101,19102006,ACTIVE
2006102,16012004,ACTIVE
2006103,04072001,ACTIVE
2006104,03041985,ACTIVE
2006105,23032000,ACTIVE
2006106,19022002,ACTIVE
2006107,24052003,ACTIVE
2006108,11022003,ACTIVE
2006109,08082020,ACTIVE
2006110,20122000,ACTIVE
2006111,01011900,NON-ACTIVE
2006112,26042005,ACTIVE
2006113,15041999,ACTIVE
2006114,21012004,ACTIVE
2006115,07022007,ACTIVE
2007101,31072005,ACTIVE
2007102,20122005,ACTIVE
2007103,12082002,ACTIVE
2007104,25032006,ACTIVE
2007105,03072006,ACTIVE
2007106,20032003,ACTIVE
2007107,06032006,ACTIVE
2007108,17072008,ACTIVE
2007109,28022002,ACTIVE
2007110,10101996,ACTIVE
2007111,29052007,ACTIVE
2007112,17112007,ACTIVE
2008101,06082004,ACTIVE
2008102,04022007,ACTIVE
2008103,01052001,ACTIVE
2008104,19082005,ACTIVE
2008105,27052003,ACTIVE
2009101,16122006,ACTIVE
2009102,06022001,ACTIVE
2009103,17021986,ACTIVE
2009104,11122004,ACTIVE
2009105,13042001,ACTIVE
2009106,23082005,ACTIVE
2009107,03122004,ACTIVE
2009108,21022000,ACTIVE
2009109,12122005,ACTIVE
2009110,21022005,ACTIVE
2009111,16071994,ACTIVE
